Gen
Number of Bus,ID,GenMW
5415,3,0
5416,4,0
5417,5,0
5418,2,0
5419,1,0
6001,1,0
6006,3,335.0
6007,1,136.0
6008,2,136.0
6027,1,50.0
6069,1,197.0
6070,1,0
6071,1,0
6072,1,160.0
6073,1,153.0
6074,1,153.0
6078,1,590.0
6079,2,590.0
6080,3,435.0
6082,1,0
6083,2,19.8
6101,1,44.0
6104,1,0
6105,1,44.0
6106,1,44.0
6116,1,50.0
6137,1,36.0
6137,2,0
6137,3,36.0
6155,1,40.7
6164,1,303.0
6165,1,165.5
6166,1,158.0
6167,1,158.0
6168,1,10.0
6175,1,46.5
6175,2,33.0
6175,3,27.6
6175,4,26.1
6182,1,46.0
6182,2,46.0
6182,3,46.0
6182,4,46.0
6213,1,0
6214,2,27.0
6233,1,52.0
6233,2,52.0
6233,3,52.0
6233,4,52.0
6242,1,0
6243,2,0
6254,1,47.3
6254,2,0
6254,3,47.3
6254,4,47.3
6257,5A,161.0
6258,5C,151.0
6259,1,47.3
6260,1,47.3
6277,G1,18.4
6277,2,0
6277,G2,18.4
6277,G3,0
6277,G4,18.4
6277,G5,18.4
6277,G6,18.4
6277,G7,18.4
6277,G8,0
6277,G9,0
6295,1,0
6296,1,171.0
6297,1,171.0
6301,U4,231.0
6302,U2,229.0
6303,U1,0
6304,U3,228.0
6329,CS,10.0
7005,1,171.0
7006,1,0
7007,1,167.0
7008,1,0
7009,1,0
7021,7,0
7022,8,0
7023,9,0
7024,10,37.0
7029,1,0
7029,2,0
7029,3,0
7031,1,0
7032,1,0
7033,1,0
7034,1,0
7045,7,0
7046,5,0
7054,1,0
7054,2,0
7058,1,58.0
7058,2,0
7058,3,0
7058,4,0
7058,5,28.5
7061,1,0
7062,1,0
7063,1,0
7064,1,0
7065,1,0
7066,1,0
7075,1,0
7075,2,0
7079,2,0
7080,1,0
7086,1,14.0
7098,1,0
7099,2,1280.0
7107,1,0
7108,1,0
7109,1,0
7110,1,0
7111,1,0
7112,1,0
7116,1,0
7133,1,0
7134,1,0
7135,1,0
7136,1,0
7137,1,29.0
7144,1,35.0
7159,32,0
7159,33,54.0
7159,34,0
7159,41,0
7159,42,0
7159,43,0
7159,44,0
7159,8,0
7162,3,0
7163,4,0
7164,51,56.0
7165,52,0
7166,53,0
7167,54,0
7168,55,0
7169,56,0
7170,31,0
7184,1,0
7184,2,0
7184,3,44.5
7184,4,0
7184,5,44.5
7184,6,0
7184,7,0
7184,8,0
7224,1,0
7224,2,0
7230,1,10.0
7266,1,0
7267,1,0
7268,1,0
7269,1,0
7280,1,0
7281,1,0
7284,4,0
7285,41,0
7286,42,0
7307,1,478.4
7308,1,0
7309,1,0
7312,1,0
7323,1,0
7324,1,0
7325,1,0
7326,1,0
7329,1,0
7334,1,0
7335,1,0
7349,5,0
7350,6,0
7351,8,0
7352,7,0
7353,4,0
7354,3,0
7355,1,118.3999999999296
7356,2,0
7357,1,0
7369,1,0
7370,1,0
7371,1,0
7372,1,0
7373,1,0
7392,1,0
7400,73,0
7400,84,0
7400,74,0
7400,81,53.0
7400,82,0
7403,1,0
7403,2,0
7403,3,0
7403,4,0
7414,1,43.0
7414,2,0
7422,1,0
7428,1,0
8020,1,59.0
8033,1,0
8046,1,182.0
8047,1,0
8048,1,0
8049,1,167.0
8050,1,167.0
8051,1,167.0
8070,2,836.0
8071,1,0
8077,1,0
8078,1,148.0
8079,1,146.0
8080,1,146.0
8087,1,855.0
8088,1,0
8099,1,100.0
8115,1,502.0
8116,1,167.0
8139,1,32.4
8139,2,11.0
8141,1,50.0
8152,7,21.0
8158,2,47.1
8158,3,47.1
12502,2,805.0
12503,3,805.0
12504,1,800.0
12506,1,0
12507,1,0
12508,U1,165.0
12509,U4,0
12510,U2,0
12511,U3,0
12512,U5,0
12513,U6,0
12514,1,0
12515,1,0
12516,1,0
12517,1,270.0
12518,1,0
12519,1,0
12520,1,0
12521,1,0
12522,1,0
12524,2,785.0
12525,1,560.0
12526,1,153.0
12527,1,153.0
12529,4,0
12530,5,435.0
12531,3,0
12532,1,0
12533,1,0
12534,1,0
12537,2,0
12538,1,0
12540,1,0
12541,1,0
12542,1,0
12543,1,0
12545,1,510.0
12546,1,0
12548,1,0
12549,1,158.0
12550,1,0
12551,1,0
12552,1,0
12553,1,0
12557,1,0
12558,1,0
12559,1,0
12561,1,237.0
12562,1,215.0
12563,1,215.0
12568,1,0
12569,1,0
12570,1,0
12571,1,0
12572,1,0
12574,1,31.0
12574,2,0
12575,1,0
12576,1,0
12577,1,85.0
12578,1,0
12579,1,0
12580,1,0
12583,1,0
12586,1,0
12588,1,0
12589,1,259.0
12591,1,0
12592,1,0
12594,BA,51.1
12594,2,50.0
12595,1,449.5
12597,1,0
12598,1,0
12599,1,0
12602,1,0
12603,1,0
12604,1,0
12605,1,0
12606,1,0
12609,1,525.0
12610,3,190.0
12611,1,164.0
12612,2,164.0
12614,1,180.0
12615,1,0
12616,1,168.0
12619,1,0
12622,ST,172.0
12623,1,169.0
12624,1,0
12626,1,173.0
12627,1,173.0
12628,1,160.0
12631,1,500.6
12634,1,500.0
12635,1,0
12638,1,0
12641,1,0
12643,1,177.0
12644,1,159.0
12645,1,157.0
12647,1,491.6
12649,1,0
12650,1,0
12651,1,0
12652,1,0
12653,1,0
12654,1,0
12655,1,0
12657,1,320.0
12658,1,160.0
12661,1,320.0
12662,1,160.0
12665,1,0
12666,1,160.0
12668,1,0
12669,1,98.1
12670,1,70.0
12671,1,70.0
12672,1,68.0
12673,1,68.0
12675,1,471.0
12677,1,0
12678,1,0
12680,1,40.0
12681,1,420.0
12682,1,0
12683,1,0
12684,1,0
12685,1,0
12686,1,0
12687,1,0
12688,1,200.0
12689,1,0
12689,2,0
12689,3,0
12689,4,44.5
12689,5,0
12689,6,0
12689,7,0
12689,8,44.5
12689,9,0
12689,10,0
12692,1,109.0
12693,1,0
12694,1,0
12695,1,0
12697,1,0
12700,1,0
12701,1,92.0
12702,1,92.0
12703,1,0
12705,1,0
12706,1,0
12708,1,0
12710,1,0
12711,1,125.0
12713,1,0
12716,1,0
12717,1,0
12720,1,400.0
12722,1,67.0
12723,1,67.0
12724,1,0
12725,1,66.0
12726,1,65.0
12727,1,65.0
12729,3,0
12730,2,0
12731,1,0
12732,4,0
12733,1,211.0
12734,2,165.0
12737,1,366.6
12739,1,0
12740,1,140.0
12741,1,85.0
12742,1,0
12742,2,0
12742,3,0
12742,4,0
12742,5,0
12742,6,44.5
12742,7,0
12742,8,0
12743,1,0
12743,2,0
12743,3,0
12743,4,44.5
12743,5,0
12743,6,0
12743,7,0
12743,8,0
12745,1,350.3
12748,1,0
12750,1,0
12753,SD,338.4
12756,1,336.0
12758,1,0
12759,1,72.2
12760,83,0
12761,1,0
12761,2,0
12761,3,0
12761,4,0
12761,5,0
12761,6,54.0
12764,1,0
12765,1,0
12766,1,0
12769,1,310.0
12771,1,0
12773,1,307.1
12775,1,306.0
12776,2,153.0
12777,1,152.0
12779,1,0
12780,1,0
12782,1,304.0
12785,1,0
12786,1,77.6
12789,1,159.0
12790,1,143.5
12792,1,302.4
12794,1,0
12797,1,0
12799,1,0
12800,1,301.0
12802,2,150.0
12805,1,150.0
12806,1,150.0
12809,1,300.0
12812,1,300.0
12815,1,300.0
12818,1,0
12821,1,300.0
12824,1,0
12827,1,0
12828,1,0
12830,1,0
12833,1,300.0
12836,1,0
12839,1,299.7
12841,1,0
12844,1,0
12845,1,288.6
12848,1,288.0
12849,1,0
12850,1,0
12853,1,200.0
12854,1,0
12856,1,278.0
12859,1,268.2
12861,1,0
12861,2,0
12861,3,44.6
12861,4,0
12861,5,0
12861,6,0
12862,1,0
12862,2,0
12862,3,0
12862,4,0
12862,5,0
12862,6,44.6
12864,1,0
12865,1,0
12868,1,265.5
12870,1,0
12871,1,0
12872,1,0
12873,ST,0
12874,1,0
12875,1,210.0
12878,1,260.0
12881,1,260.0
12884,1,257.0
12887,1,0
12890,1,255.2
12892,1,255.0
12895,1,255.0
12896,1,0
12899,1,253.0
12902,1,0
12904,1,151.0
12905,1,0
12907,1,250.0
12908,1,250.0
12909,1,0
12911,1,250.0
12913,1,250.0
12915,1,250.0
12917,1,250.0
12919,1,250.0
12920,1,0
12921,1,250.0
12923,1,0
12924,1,250.0
12925,1,0
12927,1,0
12928,1,0
12929,1,250.0
12930,1,249.7
12931,1,0
12932,1,0
12933,1,0
12934,1,0
12936,1,0
12938,1,242.8
12940,1,242.5
12941,1,241.0
12943,1,0
12944,1,61.0
12946,1,240.0
12947,1,0
12949,1,240.0
12950,1,240.0
12952,1,240.0
12954,1,240.0
12955,1,0
12956,1,239.8
12957,1,239.6
12958,1,76.0
12959,1,238.5
12960,1,237.6
12961,6,235.0
12963,1,0
12964,1,230.0
12966,1,230.0
12967,1,0
12968,1,152.7
12969,1,76.8
12971,1,228.0
12973,1,0
12975,1,0
12977,1,226.1
12979,1,225.6
12981,1,225.0
12983,1,0
12985,1,223.9
12986,1,0
12987,1,171.7
12988,1,0
12989,1,0
12990,1,0
12992,1,0
12993,1,75.0
12994,1,50.0
12995,1,0
12997,1,215.0
12998,1,70.0
13000,1,150.0
13001,1,0
13003,1,0
13005,1,210.1
13007,1,210.0
13009,1,210.0
13011,1,209.4
13013,1,0
13014,1,207.2
13015,1,0
13016,1,110.0
13017,1,0
13019,1,0
13020,1,0
13021,1,204.0
13023,1,203.8
13024,1,203.5
13026,1,0
13028,BA,203.0
13030,1,202.5
13032,1,0
13033,1,201.6
13035,1,201.6
13037,1,201.0
13039,1,201.0
13040,1,0
13042,1,0
13043,1,0
13044,1,0
13045,1,160.0
13047,1,200.2
13048,1,200.2
13049,1,200.2
13050,1,200.1
13052,1,0
13054,1,200.0
13056,1,200.0
13058,1,200.0
13060,1,200.0
13062,1,200.0
13064,1,0
13066,1,200.0
13068,1,200.0
13070,1,0
13072,1,200.0
13074,1,200.0
13076,1,200.0
13078,1,200.0
13080,1,200.0
13081,1,0
13082,1,200.0
13084,1,200.0
13086,1,200.0
13088,1,200.0
13090,1,200.0
13092,1,0
13094,1,200.0
13096,1,0
13098,1,0
13100,1,0
13102,1,0
13103,1,0
13105,1,0
13107,1,200.0
13109,1,0
13110,1,0
13112,1,200.0
13113,1,0
13115,1,198.5
13116,LC,198.5
13118,1,0
13120,1,196.7
13121,1,0
13123,TB,196.3
13125,1,194.0
13126,5,48.0
13126,6,48.0
13126,7,48.0
13126,8,0
13127,1,0
13128,1,24.0
13129,1,165.0
13130,1,92.5
13132,1,188.0
13134,1,184.0
13136,1,183.8
13138,1,182.0
13139,1,0
13141,1,0
13143,1,180.0
13145,1,180.0
13146,1,0
13148,1,0
13150,1,174.0
13151,1,0
13152,1,0
13153,1,0
13154,1,0
13156,1,171.8
13158,1,169.5
13160,1,167.8
13162,1,166.4
13164,1,0
13166,1,163.0
13168,1,162.9
13170,1,162.1
13172,1,161.0
13173,1,0
13175,1,0
13177,1,0
13178,2,0
13180,1,160.0
13182,1,160.0
13184,1,0
13185,1,158.0
13187,1,0
13188,1,0
13190,1,0
13192,1,0
13193,1,0
13195,1,151.2
13196,1,0
13197,1,150.0
13199,1,150.0
13201,1,150.0
13203,1,0
13205,1,150.0
13206,1,0
13208,1,150.0
13210,1,0
13212,1,150.0
13213,1,150.0
13215,1,150.0
13217,1,0
13219,1,150.0
13221,1,150.0
13223,1,150.0
13225,1,150.0
13227,1,150.0
13229,1,150.0
13231,1,150.0
13233,1,150.0
13235,1,0
13236,1,0
13238,1,0
13240,1,149.3
13242,1,0
13244,1,0
13245,1,0
13246,1,144.0
13248,PW,142.6
13249,1,0
13250,1,136.0
13251,1,135.0
13252,1,0
13253,1,0
13253,2,0
13253,3,0
13253,4,18.0
13253,5,0
13253,6,0
13254,1,67.2
13255,1,0
13257,1,131.0
13258,1,130.5
13260,1,130.0
13261,1,0
13262,1,126.5
13263,1,125.0
13264,1,125.0
13265,1,0
13267,1,0
13269,1,123.6
13270,2,0
13270,1,42.0
13270,3,16.0
13270,4,0
13272,1,0
13273,1,0
13275,1,0
13276,1,0
13278,1,116.0
13279,1,115.5
13281,1,115.0
13283,1,114.9
13284,1,114.0
13286,1,0
13287,1,0
13287,2,40.0
13287,3,0
13288,1,0
13290,1,0
13292,1,0
13293,1,0
13295,1,108.0
13296,10,0
13296,9,42.0
13296,6,20.0
13298,1,102.6
13299,1,101.2
13301,1,0
13303,BA,101.0
13305,BA,101.0
13307,1,100.8
13308,1,100.5
13309,1,0
13311,1,0
13312,1,0
13312,2,42.0
13312,3,0
13314,1,100.0
13316,1,100.0
13318,1,100.0
13320,1,100.0
13321,1,100.0
13322,1,0
13323,1,100.0
13324,1,100.0
13326,BC,0
13327,NF,100.0
13329,1,0
13331,1,0
13332,1,100.0
13334,1,0
13336,1,100.0
13338,1,100.0
13340,1,100.0
13341,1,0
13343,1,0
13344,1,100.0
13345,1,100.0
13346,1,0
13347,1,0
13348,1,0
13350,1,99.4
13351,1,0
13352,1,95.3
13353,1,92.3
13354,1,0
13355,1,0
13355,2,0
13356,1,0
13356,2,0
13357,1,43.0
13357,2,0
13358,1,0
13358,2,0
13360,1,84.0
13362,1,82.5
13363,1,82.5
13365,01,82.0
13367,1,80.5
13368,1,0
13370,1,0
13372,01,78.0
13374,1,78.0
13376,1,75.0
13377,8,38.0
13377,6A,0
13377,7,18.0
13379,1,0
13381,BA,0
13383,1,0
13384,1,0
13386,1,70.0
13388,1,60.2
13389,BA,60.0
13390,1,0
13391,1,29.0
13391,2,29.0
13392,1,57.0
13393,1,26.0
13393,2,26.0
13394,1,50.7
13395,1,50.4
13396,WT,50.4
13397,1,0
13397,2,20.0
13398,1,0
13398,2,0
13399,1,50.0
13400,1,50.0
13401,1,50.0
13402,P1,0
13403,1,50.0
13404,1,0
13405,1,49.5
13406,1,0
13407,1,0
13407,2,0
13408,1,38.0
13409,1,34.3
13410,1,32.0
13411,1,30.0
13412,1,0
13413,1,30.0
13414,1,0
13415,1,0
13416,1,24.8
13417,1,20.0
13418,1,13.5
13419,1,10.0
13420,1,0
13421,1,10.0
13422,1,0
13423,20,10.0
13424,1,10.0
13425,1,10.0
13426,1,0
13427,1,10.0
13428,1,10.0
