Gen
Number of Bus,ID,GenMW
4162,9,0
4166,1,0
4177,1,0
5012,1,18.8
5012,2,18.8
5012,3,18.8
5012,4,18.8
5012,5,18.8
5012,6,0
5012,7,18.8
5012,8,18.8
5012,9,18.8
5012,10,18.8
5012,11,18.8
5012,12,18.8
5020,BC,120.0
5029,1,10.0
5049,1,23.0
5049,2,18.0
5051,1,41.0
5057,2,390.0
5058,1,239.0
5080,1,44.2
5081,1,15.4
5089,1,208.0
5115,1,10.0
5154,1,52.2
5166,4,61.0
5167,5,61.0
5170,1,52.8
5174,1,49.6
5198,1,150.0
5206,1,290.5
5207,1,290.5
5208,1,165.0
5219,1,50.0
5231,1,10.0
5238,1,198.0
5243,1,150.0
5262,1,0
5263,2,1195.0
5281,1,326.0
5282,1,0
5283,1,232.0
5284,1,50.0
5290,1,21.0
5290,2,21.0
5319,1,446.3
5320,1,329.3
5321,1,327.8
5324,8,568.0
5325,6,122.0
5326,7,118.0
5360,1,932.6
5382,1,245.1
5383,1,114.4
5399,1,162.3
5403,ST,280.0
5404,1,236.0
5405,1,234.5
5415,3,200.0
5416,4,104.0
5417,5,104.0
5418,2,100.0
5419,1,66.0
6001,1,39.6
6006,3,0
6007,1,0
6008,2,0
6027,1,0
6069,1,0
6070,1,196.0
6071,1,160.0
6072,1,0
6073,1,0
6074,1,0
6078,1,0
6079,2,0
6080,3,0
6082,1,19.8
6083,2,0
6101,1,0
6104,1,44.0
6105,1,0
6106,1,0
6116,1,0
6137,1,0
6137,2,36.0
6137,3,0
6155,1,0
6164,1,0
6165,1,0
6166,1,0
6167,1,0
6168,1,0
6175,1,0
6175,2,0
6175,3,0
6175,4,0
6182,1,0
6182,2,0
6182,3,0
6182,4,0
6213,1,27.0
6214,2,0
6233,1,0
6233,2,0
6233,3,0
6233,4,0
6242,1,420.0
6243,2,410.0
6254,1,0
6254,2,47.3
6254,3,0
6254,4,0
6257,5A,0
6258,5C,0
6259,1,0
6260,1,0
6277,G1,0
6277,2,18.4
6277,G2,0
6277,G3,18.4
6277,G4,0
6277,G5,0
6277,G6,0
6277,G7,0
6277,G8,18.4
6277,G9,18.4
6295,1,233.0
6296,1,0
6297,1,0
6301,U4,0
6302,U2,0
6303,U1,228.0
6304,U3,0
6329,CS,0
7005,1,171.0
7006,1,171.0
7007,1,167.0
7008,1,166.0
7009,1,71.0
7021,7,49.0
7022,8,49.0
7023,9,48.0
7024,10,0
7029,1,15.0
7029,2,15.0
7029,3,12.0
7031,1,30.0
7032,1,30.0
7033,1,30.0
7034,1,15.0
7045,7,176.0
7046,5,112.0
7054,1,43.0
7054,2,43.0
7058,1,58.0
7058,2,47.3
7058,3,38.0
7058,4,32.0
7058,5,0
7061,1,97.0
7062,1,97.0
7063,1,72.0
7064,1,72.0
7065,1,72.0
7066,1,72.0
7075,1,45.0
7075,2,45.0
7079,2,749.0
7080,1,745.0
7086,1,0
7098,1,1300.0
7099,2,1279.4999999998477
7107,1,282.0
7108,1,182.0
7109,1,182.0
7110,1,182.0
7111,1,182.0
7112,1,182.0
7116,1,10.0
7133,1,140.0
7134,1,78.0
7135,1,29.0
7136,1,29.0
7137,1,29.0
7144,1,35.0
7159,32,54.0
7159,33,54.0
7159,34,54.0
7159,41,54.0
7159,42,54.0
7159,43,54.0
7159,44,54.0
7159,8,14.0
7162,3,110.0
7163,4,110.0
7164,51,56.0
7165,52,56.0
7166,53,56.0
7167,54,56.0
7168,55,56.0
7169,56,56.0
7170,31,54.0
7184,1,44.5
7184,2,44.5
7184,3,44.5
7184,4,44.5
7184,5,44.5
7184,6,44.5
7184,7,44.5
7184,8,44.5
7224,1,50.0
7224,2,47.0
7230,1,10.0
7266,1,75.0
7267,1,75.0
7268,1,75.0
7269,1,75.0
7280,1,258.0
7281,1,198.0
7284,4,178.0
7285,41,163.0
7286,42,163.0
7307,1,478.4
7308,1,335.0
7309,1,329.3
7312,1,11.7
7323,1,160.0
7324,1,73.0
7325,1,73.0
7326,1,73.0
7329,1,69.0
7334,1,241.0
7335,1,173.0
7349,5,664.0
7350,6,663.0
7351,8,610.0
7352,7,577.0
7353,4,552.0
7354,3,240.0
7355,1,50.600000000070395
7356,2,169.0
7357,1,13.0
7369,1,163.0
7370,1,163.0
7371,1,160.0
7372,1,159.0
7373,1,126.0
7392,1,12.3
7400,73,57.0
7400,84,56.0
7400,74,53.0
7400,81,53.0
7400,82,47.0
7403,1,36.0
7403,2,36.0
7403,3,36.0
7403,4,36.0
7414,1,0
7414,2,43.0
7422,1,50.0
7428,1,35.0
8020,1,0
8033,1,100.0
8046,1,0
8047,1,182.0
8048,1,167.0
8049,1,0
8050,1,0
8051,1,0
8070,2,0
8071,1,824.0
8077,1,405.0
8078,1,0
8079,1,0
8080,1,0
8087,1,0
8088,1,855.0
8099,1,0
8115,1,0
8116,1,0
8139,1,0
8139,2,0
8141,1,0
8152,7,0
8158,2,0
8158,3,0
12502,2,0
12503,3,0
12504,1,0
12506,1,406.0
12507,1,406.0
12508,U1,165.0
12509,U4,165.0
12510,U2,157.0
12511,U3,157.0
12512,U5,157.0
12513,U6,157.0
12514,1,270.0
12515,1,270.0
12516,1,270.0
12517,1,270.0
12518,1,270.0
12519,1,255.0
12520,1,232.0
12521,1,232.0
12522,1,232.0
12524,2,0
12525,1,0
12526,1,0
12527,1,0
12529,4,435.0
12530,5,435.0
12531,3,375.0
12532,1,165.0
12533,1,165.0
12534,1,165.0
12537,2,523.0
12538,1,392.0
12540,1,198.0
12541,1,198.0
12542,1,72.0
12543,1,72.0
12545,1,0
12546,1,305.0
12548,1,158.0
12549,1,0
12550,1,157.0
12551,1,82.0
12552,1,173.0
12553,1,173.0
12557,1,245.0
12558,1,245.0
12559,1,245.0
12561,1,0
12562,1,0
12563,1,0
12568,1,158.0
12569,1,158.0
12570,1,158.0
12571,1,75.0
12572,1,75.0
12574,1,0
12574,2,31.0
12575,1,103.0
12576,1,103.0
12577,1,85.0
12578,1,85.0
12579,1,85.0
12580,1,85.0
12583,1,600.0
12586,1,600.0
12588,1,320.0
12589,1,259.0
12591,1,51.8
12592,1,500.0
12594,BA,0
12594,2,0
12595,1,0
12597,1,204.0
12598,1,167.0
12599,1,167.0
12602,1,260.0
12603,1,69.0
12604,1,69.0
12605,1,68.0
12606,1,68.0
12609,1,0
12610,3,0
12611,1,0
12612,2,0
12614,1,0
12615,1,168.0
12616,1,0
12619,1,515.0
12622,ST,0
12623,1,0
12624,1,169.0
12626,1,0
12627,1,0
12628,1,0
12631,1,0
12634,1,0
12635,1,500.0
12638,1,500.0
12641,1,500.0
12643,1,0
12644,1,0
12645,1,0
12647,1,0
12649,1,85.5
12650,1,68.2
12651,1,66.6
12652,1,66.2
12653,1,65.9
12654,1,65.1
12655,1,64.4
12657,1,0
12658,1,0
12661,1,0
12662,1,0
12665,1,320.0
12666,1,0
12668,1,98.1
12669,1,0
12670,1,0
12671,1,0
12672,1,0
12673,1,0
12675,1,0
12677,1,350.2
12678,1,120.0
12680,1,0
12681,1,0
12682,1,95.6
12683,1,95.6
12684,1,95.2
12685,1,68.3
12686,1,68.3
12687,1,200.0
12688,1,0
12689,1,44.5
12689,2,44.5
12689,3,44.5
12689,4,44.5
12689,5,44.5
12689,6,44.5
12689,7,44.5
12689,8,44.5
12689,9,44.5
12689,10,44.5
12692,1,0
12693,1,109.0
12694,1,109.0
12695,1,109.0
12697,1,430.0
12700,1,142.0
12701,1,0
12702,1,92.0
12703,1,92.0
12705,1,204.0
12706,1,204.0
12708,1,405.0
12710,1,275.0
12711,1,125.0
12713,1,400.0
12716,1,300.0
12717,1,100.0
12720,1,0
12722,1,0
12723,1,0
12724,1,67.0
12725,1,0
12726,1,0
12727,1,0
12729,3,138.0
12730,2,107.0
12731,1,75.0
12732,4,75.0
12733,1,0
12734,2,0
12737,1,0
12739,1,141.0
12740,1,0
12741,1,0
12742,1,44.5
12742,2,44.5
12742,3,44.5
12742,4,44.5
12742,5,44.5
12742,6,0
12742,7,44.5
12742,8,44.5
12743,1,44.5
12743,2,44.5
12743,3,44.5
12743,4,0
12743,5,44.5
12743,6,44.5
12743,7,44.5
12743,8,44.5
12745,1,0
12748,1,350.0
12750,1,350.0
12753,SD,0
12756,1,0
12758,1,255.9
12759,1,0
12760,83,61.0
12761,1,54.0
12761,2,54.0
12761,3,54.0
12761,4,54.0
12761,5,54.0
12761,6,0
12764,1,240.8
12765,1,73.1
12766,1,313.0
12769,1,0
12771,1,310.0
12773,1,0
12775,1,0
12776,2,0
12777,1,0
12779,1,202.8
12780,1,101.6
12782,1,0
12785,1,225.0
12786,1,0
12789,1,0
12790,1,0
12792,1,0
12794,1,302.4
12797,1,301.3
12799,1,301.0
12800,1,0
12802,2,0
12805,1,0
12806,1,0
12809,1,0
12812,1,0
12815,1,0
12818,1,300.0
12821,1,0
12824,1,300.0
12827,1,300.0
12828,1,300.0
12830,1,300.0
12833,1,0
12836,1,300.0
12839,1,0
12841,1,299.2
12844,1,293.3
12845,1,0
12848,1,0
12849,1,143.1
12850,1,143.1
12853,1,0
12854,1,80.0
12856,1,0
12859,1,0
12861,1,44.6
12861,2,44.6
12861,3,44.6
12861,4,44.6
12861,5,44.6
12861,6,44.6
12862,1,44.6
12862,2,44.6
12862,3,44.6
12862,4,44.6
12862,5,44.6
12862,6,0
12864,1,163.0
12865,1,104.0
12868,1,0
12870,1,69.0
12871,1,66.0
12872,1,66.0
12873,ST,62.0
12874,1,51.6
12875,1,0
12878,1,0
12881,1,260.0
12884,1,0
12887,1,256.0
12890,1,0
12892,1,0
12895,1,0
12896,1,255.0
12899,1,0
12902,1,252.0
12904,1,151.0
12905,1,100.0
12907,1,0
12908,1,0
12909,1,250.0
12911,1,0
12913,1,0
12915,1,0
12917,1,0
12919,1,0
12920,1,250.0
12921,1,0
12923,1,250.0
12924,1,0
12925,1,250.0
12927,1,150.0
12928,1,100.0
12929,1,0
12930,1,0
12931,1,249.0
12932,1,245.0
12933,1,78.0
12934,1,75.0
12936,1,243.0
12938,1,0
12940,1,0
12941,1,0
12943,1,180.0
12944,1,0
12946,1,0
12947,1,240.0
12949,1,0
12950,1,0
12952,1,0
12954,1,0
12955,1,240.0
12956,1,0
12957,1,0
12958,1,0
12959,1,0
12960,1,0
12961,6,0
12963,1,230.4
12964,1,0
12966,1,0
12967,1,230.0
12968,1,0
12969,1,0
12971,1,0
12973,1,227.5
12975,1,226.8
12977,1,0
12979,1,0
12981,1,0
12983,1,225.0
12985,1,0
12986,1,50.4
12987,1,0
12988,1,150.5
12989,1,70.5
12990,1,220.0
12992,1,145.0
12993,1,0
12994,1,50.0
12995,1,169.4
12997,1,0
12998,1,0
13000,1,150.0
13001,1,61.5
13003,1,211.2
13005,1,0
13007,1,0
13009,1,0
13011,1,0
13013,1,209.0
13014,1,0
13015,1,206.0
13016,1,0
13017,1,204.0
13019,1,204.0
13020,1,204.0
13021,1,0
13023,1,0
13024,1,0
13026,1,203.0
13028,BA,0
13030,1,0
13032,1,202.5
13033,1,0
13035,1,0
13037,1,0
13039,1,0
13040,1,200.9
13042,1,102.0
13043,1,98.6
13044,1,40.4
13045,1,0
13047,1,0
13048,1,0
13049,1,0
13050,1,0
13052,1,200.1
13054,1,0
13056,1,0
13058,1,0
13060,1,0
13062,1,0
13064,1,200.0
13066,1,0
13068,1,0
13070,1,200.0
13072,1,0
13074,1,0
13076,1,0
13078,1,0
13080,1,0
13081,1,200.0
13082,1,0
13084,1,0
13086,1,0
13088,1,0
13090,1,0
13092,1,200.0
13094,1,0
13096,1,200.0
13098,1,200.0
13100,1,200.0
13102,1,200.0
13103,1,200.0
13105,1,200.0
13107,1,0
13109,1,200.0
13110,1,200.0
13112,1,0
13113,1,200.0
13115,1,0
13116,LC,0
13118,1,196.8
13120,1,0
13121,1,146.7
13123,TB,0
13125,1,0
13126,5,0
13126,6,0
13126,7,0
13126,8,47.0
13127,1,190.0
13128,1,0
13129,1,0
13130,1,0
13132,1,0
13134,1,0
13136,1,0
13138,1,0
13139,1,181.7
13141,1,180.0
13143,1,0
13145,1,0
13146,1,175.3
13148,1,175.0
13150,1,0
13151,1,174.0
13152,1,34.0
13153,1,69.0
13154,1,69.0
13156,1,0
13158,1,0
13160,1,0
13162,1,0
13164,1,163.2
13166,1,0
13168,1,0
13170,1,0
13172,1,0
13173,1,161.0
13175,1,160.7
13177,1,80.0
13178,2,80.0
13180,1,0
13182,1,0
13184,1,159.8
13185,1,0
13187,1,157.5
13188,1,104.0
13190,1,154.0
13192,1,152.0
13193,1,151.5
13195,1,0
13196,1,151.2
13197,1,0
13199,1,0
13201,1,0
13203,1,150.0
13205,1,0
13206,1,150.0
13208,1,0
13210,1,150.0
13212,1,0
13213,1,0
13215,1,0
13217,1,150.0
13219,1,0
13221,1,0
13223,1,0
13225,1,0
13227,1,0
13229,1,0
13231,1,0
13233,1,0
13235,1,150.0
13236,1,150.0
13238,1,150.0
13240,1,0
13242,1,148.4
13244,1,148.0
13245,1,145.0
13246,1,0
13248,PW,0
13249,1,140.0
13250,1,0
13251,1,0
13252,1,134.7
13253,1,31.0
13253,2,31.0
13253,3,18.0
13253,4,18.0
13253,5,18.0
13253,6,18.0
13254,1,0
13255,1,65.0
13257,1,0
13258,1,0
13260,1,0
13261,1,127.0
13262,1,0
13263,1,0
13264,1,0
13265,1,125.0
13267,1,125.0
13269,1,0
13270,2,46.0
13270,1,0
13270,3,0
13270,4,16.0
13272,1,120.0
13273,1,120.0
13275,1,118.5
13276,1,117.0
13278,1,0
13279,1,0
13281,1,0
13283,1,0
13284,1,0
13286,1,110.9
13287,1,40.0
13287,2,0
13287,3,30.0
13288,1,110.0
13290,1,110.0
13292,1,110.0
13293,1,100.0
13295,1,0
13296,10,45.0
13296,9,0
13296,6,0
13298,1,0
13299,1,0
13301,1,101.0
13303,BA,0
13305,BA,0
13307,1,0
13308,1,0
13309,1,100.1
13311,1,100.1
13312,1,42.0
13312,2,0
13312,3,16.0
13314,1,0
13316,1,0
13318,1,0
13320,1,0
13321,1,0
13322,1,100.0
13323,1,0
13324,1,0
13326,BC,100.0
13327,NF,0
13329,1,100.0
13331,1,100.0
13332,1,0
13334,1,100.0
13336,1,0
13338,1,0
13340,1,0
13341,1,100.0
13343,1,100.0
13344,1,0
13345,1,0
13346,1,100.0
13347,1,100.0
13348,1,100.0
13350,1,0
13351,1,98.8
13352,1,0
13353,1,0
13354,1,75.0
13355,1,43.0
13355,2,43.0
13356,1,43.0
13356,2,43.0
13357,1,43.0
13357,2,43.0
13358,1,43.0
13358,2,43.0
13360,1,0
13362,1,0
13363,1,0
13365,01,0
13367,1,0
13368,1,80.0
13370,1,78.1
13372,01,0
13374,1,0
13376,1,0
13377,8,0
13377,6A,18.0
13377,7,0
13379,1,74.0
13381,BA,71.5
13383,1,71.4
13384,1,70.0
13386,1,0
13388,1,0
13389,BA,0
13390,1,59.0
13391,1,0
13391,2,0
13392,1,0
13393,1,0
13393,2,0
13394,1,0
13395,1,0
13396,WT,0
13397,1,30.2
13397,2,0
13398,1,32.0
13398,2,18.0
13399,1,0
13400,1,0
13401,1,0
13402,P1,50.0
13403,1,0
13404,1,50.0
13405,1,0
13406,1,42.5
13407,1,23.8
13407,2,15.0
13408,1,0
13409,1,0
13410,1,0
13411,1,0
13412,1,30.0
13413,1,0
13414,1,30.0
13415,1,24.8
13416,1,0
13417,1,0
13418,1,0
13419,1,0
13420,1,10.0
13421,1,10.0
13422,1,10.0
13423,20,0
13424,1,0
13425,1,0
13426,1,10.0
13427,1,0
13428,1,0
