from_bus_number,to_bus_number,from_area,to_area,category,dist,dela_dist,x,r,b,s1,s2,s3,fixed_cost
12891,12608,1,3,230_line,170.98,3,0.158632,0.01761,0.6114,380.0,501.7,762.7,2699.6
12891,12646,1,3,230_line,216.6,3,0.177709,0.02108,0.92348,488.8,651.4,653.7,3611.9999999999995
12891,12656,1,3,230_line,254.08,3,0.23119,0.02503,1.03411,399.0,407.9,626.4,4361.6
12891,6211,1,6,230_line,336.14,3,0.263205,0.02941,1.37666,457.2,544.1,631.3,6002.799999999999
12891,12855,1,1,230_line,61.64,2,0.048418,0.00484,0.24802,353.4,695.4,723.8,256.4
12891,1033,1,1,230_line,62.74,2,0.058397,0.00564,0.22567,464.1,591.8,593.0,267.40000000000003
12891,12594,1,1,230_line,83.72,2,0.061634,0.00763,0.39099,408.3,499.7,654.5,477.20000000000005
12891,1129,1,1,230_line,69.7,3,0.066368,0.00778,0.26793,443.4,681.2,710.8,337.0
12891,1081,1,1,230_line,73.67,3,0.099213,0.01033,0.19387,444.3,555.8,672.1,376.70000000000005
12891,1123,1,1,230_line,95.55,3,0.084888,0.00987,0.37479,411.0,614.3,685.9,595.5
12891,1113,1,1,230_line,94.05,3,0.105606,0.01213,0.30043,415.8,480.3,603.7,580.5
12891,12811,1,1,230_line,114.54,3,0.116316,0.0142,0.4281,417.1,440.5,718.0,785.4
12891,1096,1,1,230_line,105.23,3,0.104694,0.0127,0.35775,491.9,516.9,649.4,692.3000000000001
1033,12894,1,1,230_line,24.45,1,0.022466,0.00227,0.09595,414.3,550.4,714.6,24.45
1033,12594,1,1,230_line,20.39,0,0.023056,0.00286,0.06719,367.4,699.9,711.1,20.39
1033,12855,1,1,230_line,4.13,0,0.004065,0.00048,0.00955,416.2,545.1,750.7,4.13
1033,1123,1,1,230_line,46.61,1,0.0407,0.00636,0.18109,426.5,433.2,703.2,106.1
1033,1113,1,1,230_line,48.46,1,0.034589,0.00387,0.24118,473.0,592.2,666.1,124.60000000000002
1033,1099,1,1,230_line,50.76,2,0.048595,0.00573,0.17884,401.8,658.3,705.8,147.59999999999997
1033,12774,1,1,230_line,28.3,2,0.023271,0.00235,0.12335,425.5,615.4,675.8,28.3
1033,1081,1,1,230_line,49.47,2,0.068854,0.00852,0.12244,437.2,593.1,679.4,134.7
1033,12630,1,1,230_line,68.74,2,0.068606,0.00787,0.22379,515.3,590.8,658.1,327.4
1033,12811,1,1,230_line,58.54,2,0.043424,0.00489,0.26678,384.5,395.4,635.4,225.39999999999998
1033,12820,1,1,230_line,69.16,2,0.066357,0.00736,0.25378,476.7,597.5,612.4,331.5999999999999
1033,1096,1,1,230_line,48.28,2,0.045785,0.00501,0.17513,444.2,580.2,649.3,122.80000000000001
1033,3050,1,3,230_line,120.76,2,0.107153,0.0128,0.51876,384.1,485.3,701.0,1695.2
1033,3018,1,3,230_line,103.48,3,0.082285,0.00975,0.46117,445.1,569.6,774.2,1349.6000000000001
1033,3001,1,3,230_line,220.66,3,0.253467,0.02728,0.67857,470.9,472.2,615.1,3693.2000000000003
1033,6308,1,6,230_line,242.4,3,0.224739,0.02247,0.95995,440.7,496.0,711.3,4128.0
1033,4014,1,4,230_line,253.22,3,0.21375,0.02264,1.03168,484.6,579.8,635.7,4344.4
1033,1053,1,1,230_line,57.64,3,0.036281,0.00387,0.32333,486.0,597.9,719.0,216.39999999999998
1033,12877,1,1,230_line,153.59,3,0.155222,0.01672,0.53737,398.1,522.2,552.0,1175.9
1033,12835,1,1,230_line,72.0,3,0.073272,0.00948,0.27428,431.8,629.8,662.4,360.0
1033,12791,1,1,230_line,70.83,3,0.062336,0.0064,0.29257,427.6,629.1,738.3,348.29999999999995
1033,12796,1,1,230_line,69.48,3,0.059693,0.00616,0.29084,367.9,457.2,700.2,334.80000000000007
1033,1105,1,1,230_line,80.48,3,0.107349,0.01085,0.19085,385.3,404.5,672.7,444.80000000000007
1033,1107,1,1,230_line,81.06,2,0.066879,0.00772,0.33711,428.7,519.4,650.9,450.6
1033,1129,1,1,230_line,50.62,2,0.044224,0.00527,0.21476,356.5,636.4,637.4,146.2
1033,12804,1,1,230_line,70.21,3,0.069598,0.00747,0.24891,449.3,629.8,682.7,342.0999999999999
1033,12680,1,1,230_line,71.97,3,0.058237,0.00676,0.31868,400.3,596.6,687.0,359.70000000000005
1033,1125,1,1,230_line,70.91,3,0.046823,0.00455,0.3408,500.1,548.9,689.8,349.0999999999999
1033,1115,1,1,230_line,79.82,2,0.091601,0.01018,0.22704,443.9,477.4,737.2,438.19999999999993
1033,1117,1,1,230_line,82.9,2,0.076353,0.00922,0.30226,485.5,486.1,665.0,469.0
1033,1131,1,1,230_line,82.47,2,0.078934,0.00965,0.33551,408.7,506.2,678.2,464.70000000000005
1033,1127,1,1,230_line,93.37,3,0.109891,0.01193,0.29758,435.7,444.9,705.4,573.7
1033,1101,1,1,230_line,99.29,3,0.077015,0.00892,0.45808,426.8,571.1,657.1,632.9
1033,1109,1,1,230_line,80.76,3,0.071908,0.00895,0.33619,443.2,574.0,707.4,447.6
1033,1093,1,1,230_line,67.02,3,0.067193,0.00767,0.2234,439.8,487.0,692.8,310.19999999999993
1033,1121,1,1,230_line,104.78,3,0.120401,0.01509,0.29688,480.2,500.1,753.5,687.8
1033,1119,1,1,230_line,97.79,3,0.116591,0.01317,0.26442,386.6,430.4,598.2,617.9
1033,1133,1,1,230_line,99.63,3,0.088394,0.00997,0.40865,444.2,581.9,695.5,636.3
12774,1053,1,1,230_line,44.4,1,0.03778,0.00353,0.18429,405.9,440.7,619.6,83.99999999999999
12774,12894,1,1,230_line,11.5,0,0.010157,0.00121,0.03197,506.4,609.5,645.7,11.5
12774,1099,1,1,230_line,46.0,1,0.033151,0.00433,0.23164,388.8,475.6,598.9,100.0
12774,12855,1,1,230_line,25.68,1,0.022979,0.00253,0.09694,449.4,577.5,646.2,25.68
12774,1093,1,1,230_line,59.85,2,0.084249,0.00965,0.14815,377.4,410.9,682.9,238.5
12774,12823,1,1,230_line,94.49,3,0.119671,0.01185,0.25344,343.3,367.6,695.2,584.9
12774,1125,1,1,230_line,66.52,2,0.036947,0.00435,0.41063,445.6,579.4,724.1,305.19999999999993
12774,12835,1,1,230_line,54.31,2,0.05562,0.00627,0.17275,397.1,586.7,655.0,183.10000000000002
12774,1129,1,1,230_line,59.45,2,0.053496,0.00564,0.23426,373.1,570.0,674.0,234.5
12774,1081,1,1,230_line,60.87,2,0.041294,0.00489,0.30602,433.5,614.4,632.3,248.7
12774,4014,1,4,230_line,253.77,2,0.232454,0.02587,0.97813,402.3,456.4,693.2,4355.400000000001
12774,12877,1,1,230_line,130.09,2,0.077473,0.00902,0.76414,419.2,421.8,686.9,940.9000000000001
12774,3050,1,3,230_line,136.79,2,0.128622,0.01338,0.50055,423.6,557.3,643.9,2015.7999999999997
12774,12594,1,1,230_line,48.14,2,0.051597,0.00524,0.15586,447.8,498.9,708.3,121.4
12774,1123,1,1,230_line,72.26,3,0.056298,0.00628,0.30742,499.3,505.5,613.2,362.6
12774,1113,1,1,230_line,71.15,3,0.07238,0.00876,0.24372,408.2,654.0,709.2,351.5
12774,12630,1,1,230_line,93.34,3,0.098548,0.01072,0.28849,432.6,579.6,587.6,573.4000000000001
12774,12811,1,1,230_line,87.19,3,0.051073,0.00517,0.50533,433.8,626.2,732.1,511.9
12774,12820,1,1,230_line,86.96,2,0.095876,0.0108,0.26778,424.4,552.9,698.1,509.5999999999999
12774,1096,1,1,230_line,71.29,3,0.05542,0.00745,0.35049,436.5,513.4,694.2,352.9000000000001
12774,3018,1,3,230_line,129.67,3,0.160094,0.01737,0.38013,500.8,565.4,657.5,1873.3999999999996
12774,3001,1,3,230_line,246.73,3,0.270567,0.03222,0.77057,419.7,584.5,734.3,4214.599999999999
12774,6308,1,6,230_line,262.08,3,0.274051,0.02817,0.91232,469.0,544.8,566.9,4521.599999999999
12774,4004,1,4,230_line,327.43,3,0.205772,0.02216,1.75078,425.0,467.3,707.1,5828.599999999999
12774,4113,1,4,230_line,339.97,3,0.311206,0.03163,1.3722,468.7,553.7,696.5,6079.4000000000015
12774,4131,1,4,230_line,272.15,3,0.275274,0.03138,1.06145,435.7,520.4,754.6,4723.0
12774,1101,1,1,230_line,109.22,3,0.099301,0.00945,0.39297,394.8,467.0,637.6,732.2
12774,4146,1,4,230_line,362.15,3,0.35588,0.03561,1.2991,417.5,430.4,610.0,6523.0
12774,4073,1,4,230_line,488.98,3,0.521146,0.06859,1.51698,460.2,478.5,756.1,9059.6
12774,2097,1,2,230_line,209.82,3,0.230007,0.02768,0.70076,421.1,447.5,562.6,3476.3999999999996
12774,1109,1,1,230_line,86.01,3,0.087469,0.00977,0.29791,458.2,547.1,745.0,500.1
12774,12804,1,1,230_line,72.98,3,0.069221,0.00949,0.28708,382.2,422.0,649.1,369.80000000000007
12774,12680,1,1,230_line,78.33,3,0.051236,0.00533,0.42738,385.8,440.8,687.3,423.29999999999995
12774,1115,1,1,230_line,91.19,3,0.080258,0.00872,0.33286,468.5,573.4,633.4,551.9
12774,1117,1,1,230_line,88.43,3,0.073029,0.00765,0.44762,446.7,561.9,754.7,524.3000000000001
12791,12608,1,3,230_line,53.59,1,0.033883,0.00327,0.28063,451.8,493.2,646.8,351.80000000000007
12791,1105,1,1,230_line,38.47,0,0.03795,0.00399,0.1246,473.8,629.2,715.0,38.47
12791,3018,1,3,230_line,32.51,0,0.032197,0.00341,0.13007,350.4,554.3,677.4,65.02
12791,12630,1,1,230_line,25.53,1,0.028844,0.00319,0.07681,496.3,696.5,731.6,25.53
12791,12811,1,1,230_line,13.76,0,0.012592,0.00133,0.0528,404.5,421.0,678.9,13.76
12791,3053,1,3,230_line,99.61,2,0.123445,0.01301,0.30439,412.3,498.7,735.5,1272.2
12791,12646,1,3,230_line,82.44,2,0.113996,0.013,0.21722,472.2,541.7,671.7,928.8
12791,12656,1,3,230_line,127.66,3,0.123632,0.01448,0.46815,481.9,502.6,645.7,1833.1999999999998
12791,12698,1,3,230_line,95.27,2,0.064912,0.00822,0.4997,469.0,627.3,695.5,1185.3999999999999
12791,3088,1,3,230_line,135.19,3,0.091507,0.0103,0.73999,391.4,624.1,635.2,1983.8000000000002
12791,3082,1,3,230_line,106.3,3,0.127664,0.0136,0.31079,535.1,569.3,645.0,1405.9999999999998
12791,3001,1,3,230_line,153.81,2,0.131231,0.01626,0.65682,415.4,627.7,704.8,2356.2
12791,3041,1,3,230_line,71.0,2,0.051144,0.00521,0.34822,371.9,568.4,670.3,700.0
12791,3046,1,3,230_line,92.97,3,0.089304,0.01054,0.34657,436.7,486.3,695.5,1139.4
12791,3058,1,3,230_line,57.5,2,0.051376,0.00508,0.22655,442.5,612.9,655.5,430.0
12791,1119,1,1,230_line,74.05,3,0.069126,0.00854,0.29091,469.1,518.9,624.1,380.5
12791,12796,1,1,230_line,42.39,2,0.029523,0.00321,0.21201,384.7,511.1,682.2,63.900000000000006
12791,1111,1,1,230_line,76.69,3,0.063892,0.00739,0.34839,393.4,438.4,717.2,406.9
12791,3050,1,3,230_line,107.88,2,0.103598,0.0123,0.37665,433.5,443.1,571.1,1437.6
12791,12820,1,1,230_line,52.46,2,0.07461,0.00781,0.13104,379.5,460.7,711.8,164.60000000000002
12791,12721,1,3,230_line,83.09,3,0.061105,0.00643,0.43994,376.2,552.4,594.6,941.8000000000002
12791,1107,1,1,230_line,69.4,3,0.080941,0.01029,0.20656,492.9,615.1,648.9,334.0
12791,1096,1,1,230_line,48.11,2,0.036776,0.00418,0.22444,467.0,633.1,690.3,121.1
12791,12594,1,1,230_line,49.91,2,0.045593,0.00474,0.20516,405.4,469.1,640.1,139.09999999999997
12791,6211,1,6,230_line,191.71,3,0.196207,0.02662,0.6547,461.8,475.0,740.8,3114.2000000000003
12791,6285,1,6,230_line,195.15,3,0.177086,0.02133,0.71531,421.7,521.3,741.0,3183.0000000000005
12791,6308,1,6,230_line,195.58,3,0.142206,0.01417,0.91013,401.8,600.7,653.1,3191.6
12791,12894,1,1,230_line,96.61,3,0.101683,0.01096,0.28762,433.8,591.1,682.0,606.1
12791,4014,1,4,230_line,230.33,3,0.20496,0.02361,0.82081,429.6,515.6,686.4,3886.6
12791,1123,1,1,230_line,58.69,3,0.044394,0.0058,0.30775,349.9,436.9,590.2,226.89999999999998
1053,1093,1,1,230_line,21.98,1,0.025281,0.00289,0.06102,450.2,496.9,699.0,21.98
1053,1099,1,1,230_line,19.13,0,0.020035,0.00238,0.06671,431.9,590.7,646.8,19.13
1053,12835,1,1,230_line,30.14,0,0.026037,0.00272,0.11825,425.1,522.0,742.6,30.14
1053,12823,1,1,230_line,57.23,2,0.056398,0.006,0.19385,440.5,680.5,683.9,212.29999999999995
1053,1101,1,1,230_line,71.57,3,0.068029,0.00676,0.25045,409.3,638.7,678.5,355.69999999999993
1053,12877,1,1,230_line,101.89,2,0.098586,0.01049,0.34569,509.3,606.9,702.4,658.9
1053,1109,1,1,230_line,53.36,3,0.047488,0.00531,0.20413,377.4,648.2,734.9,173.6
1053,1125,1,1,230_line,29.13,2,0.029075,0.0029,0.10729,358.7,529.5,680.3,29.13
1053,12855,1,1,230_line,54.27,2,0.03746,0.00421,0.2898,436.7,449.2,666.5,182.70000000000005
1053,1129,1,1,230_line,42.13,2,0.052479,0.00561,0.11601,445.0,564.5,652.9,61.300000000000026
1053,1081,1,1,230_line,47.43,2,0.054796,0.00551,0.13683,379.1,408.2,627.7,114.30000000000001
1053,12804,1,1,230_line,43.51,3,0.048116,0.00581,0.14443,495.7,538.6,657.2,75.09999999999998
1053,12894,1,1,230_line,52.04,2,0.056844,0.0082,0.17367,407.4,660.6,675.1,160.39999999999998
1053,12594,1,1,230_line,76.69,3,0.069611,0.00842,0.30649,396.2,420.8,570.2,406.9
1053,12820,1,1,230_line,123.65,3,0.121936,0.01413,0.45084,343.8,406.7,724.2,876.5
1053,3050,1,3,230_line,173.2,2,0.126632,0.0127,0.87317,533.5,659.2,684.9,2744.0
1053,4014,1,4,230_line,313.03,2,0.151832,0.01512,2.10507,361.4,618.6,681.0,5540.5999999999985
1053,12680,1,1,230_line,51.63,3,0.049012,0.00499,0.18023,398.1,578.1,645.2,156.3
1053,1115,1,1,230_line,63.44,3,0.091009,0.00921,0.16054,432.1,463.0,744.0,274.4
